     1.000000    0.017453    0.337303    0.345007    0.345594
     1.000000    0.052360    0.337319    0.345103    0.345487
     1.000000    0.087266    0.337325    0.345149    0.345435
     1.000000    0.122173    0.337325    0.345146    0.345438
     1.000000    0.157080    0.337325    0.345145    0.345439
     1.000000    0.191986    0.337325    0.345145    0.345440
     1.000000    0.226893    0.337325    0.345144    0.345440
     1.000000    0.261799    0.337325    0.345144    0.345440
     1.000000    0.296706    0.337325    0.345144    0.345440
     1.000000    0.331613    0.337325    0.345144    0.345440
     1.000000    0.366519    0.337325    0.345144    0.345440
     1.000000    0.401426    0.337325    0.345144    0.345440
     1.000000    0.436332    0.337325    0.345144    0.345440
     1.000000    0.471239    0.337325    0.345144    0.345440
     1.000000    0.506145    0.337325    0.345144    0.345440
     1.000000    0.541052    0.337325    0.345144    0.345440
     1.000000    0.575959    0.337325    0.345144    0.345440
     1.000000    0.610865    0.337325    0.345144    0.345440
     1.000000    0.645772    0.337325    0.345144    0.345440
     1.000000    0.680678    0.337325    0.345144    0.345440
     1.000000    0.715585    0.337325    0.345144    0.345440
     1.000000    0.750492    0.337325    0.345144    0.345440
     1.000000    0.785398    0.337325    0.345144    0.345440
     1.000000    0.820305    0.337325    0.345144    0.345440
     1.000000    0.855211    0.337325    0.345145    0.345440
     1.000000    0.890118    0.337325    0.345145    0.345439
     1.000000    0.925025    0.337325    0.345145    0.345439
     1.000000    0.959931    0.337324    0.345142    0.345443
     1.000000    0.994838    0.337323    0.345137    0.345448
     1.000000    1.029744    0.337299    0.344982    0.345623
     1.000000    1.064651    0.337308    0.345040    0.345557
     1.000000    1.099557    0.337328    0.345161    0.345422
     1.000000    1.134464    0.337302    0.345003    0.345599
     1.000000    1.169371    0.337304    0.345009    0.345591
     1.000000    1.204277    0.337305    0.345014    0.345585
     1.000000    1.239184    0.337304    0.345010    0.345591
     1.000000    1.274090    0.337304    0.345014    0.345586
     1.000000    1.308997    0.337325    0.345144    0.345440
     1.000000    1.343904    0.337325    0.345147    0.345436
     1.000000    1.378810    0.337325    0.345147    0.345438
     1.000000    1.413717    0.337325    0.345147    0.345437
     1.000000    1.448623    0.337324    0.345140    0.345444
     1.000000    1.483530    0.337304    0.345016    0.345585
     1.000000    1.518436    0.337324    0.345142    0.345442
     1.000000    1.553343    0.337304    0.345018    0.345582
     1.000000    1.588250    0.337304    0.345015    0.345584
     1.000000    1.623156    0.337324    0.345138    0.345447
     1.000000    1.658063    0.337304    0.345014    0.345586
     1.000000    1.692969    0.337325    0.345142    0.345443
     1.000000    1.727876    0.337325    0.345148    0.345435
     1.000000    1.762783    0.337325    0.345147    0.345438
     1.000000    1.797689    0.337325    0.345149    0.345435
     1.000000    1.832596    0.337325    0.345146    0.345437
     1.000000    1.867502    0.337304    0.345015    0.345584
     1.000000    1.902409    0.337304    0.345011    0.345590
     1.000000    1.937315    0.337304    0.345011    0.345589
     1.000000    1.972222    0.337304    0.345008    0.345592
     1.000000    2.007129    0.337303    0.345011    0.345591
     1.000000    2.042035    0.337325    0.345147    0.345438
     1.000000    2.076942    0.337303    0.345008    0.345591
     1.000000    2.111848    0.337299    0.344984    0.345619
     1.000000    2.146755    0.337325    0.345143    0.345441
     1.000000    2.181662    0.337323    0.345136    0.345449
     1.000000    2.216568    0.337325    0.345146    0.345438
     1.000000    2.251475    0.337325    0.345145    0.345439
     1.000000    2.286381    0.337325    0.345144    0.345440
     1.000000    2.321288    0.337325    0.345144    0.345440
     1.000000    2.356194    0.337325    0.345144    0.345440
     1.000000    2.391101    0.337325    0.345144    0.345440
     1.000000    2.426008    0.337325    0.345144    0.345440
     1.000000    2.460914    0.337325    0.345144    0.345440
     1.000000    2.495821    0.337325    0.345144    0.345440
     1.000000    2.530727    0.337325    0.345144    0.345440
     1.000000    2.565634    0.337325    0.345144    0.345440
     1.000000    2.600541    0.337325    0.345144    0.345440
     1.000000    2.635447    0.337325    0.345144    0.345440
     1.000000    2.670354    0.337325    0.345144    0.345440
     1.000000    2.705260    0.337325    0.345144    0.345440
     1.000000    2.740167    0.337325    0.345144    0.345440
     1.000000    2.775074    0.337325    0.345144    0.345440
     1.000000    2.809980    0.337325    0.345144    0.345440
     1.000000    2.844887    0.337325    0.345144    0.345440
     1.000000    2.879793    0.337325    0.345144    0.345440
     1.000000    2.914700    0.337325    0.345144    0.345440
     1.000000    2.949606    0.337325    0.345145    0.345440
     1.000000    2.984513    0.337325    0.345145    0.345439
     1.000000    3.019420    0.337325    0.345147    0.345437
     1.000000    3.054326    0.337325    0.345142    0.345442
     1.000000    3.089233    0.337320    0.345111    0.345477
     1.000000    3.124139    0.337304    0.345013    0.345587
     1.000000    3.159046    0.337305    0.345017    0.345582
     1.000000    3.193953    0.337330    0.345177    0.345403
     1.000000    3.228859    0.337304    0.345014    0.345586
     1.000000    3.263766    0.337299    0.344983    0.345621
     1.000000    3.298672    0.337305    0.345011    0.345588
     1.000000    3.333579    0.337304    0.345009    0.345592
     1.000000    3.368485    0.337304    0.345013    0.345587
     1.000000    3.403392    0.337325    0.345146    0.345438
     1.000000    3.438299    0.337326    0.345149    0.345435
     1.000000    3.473205    0.337325    0.345147    0.345437
     1.000000    3.508112    0.337325    0.345150    0.345434
     1.000000    3.543018    0.337325    0.345146    0.345438
     1.000000    3.577925    0.337306    0.345020    0.345580
     1.000000    3.612832    0.337324    0.345141    0.345444
     1.000000    3.647738    0.337304    0.345014    0.345586
     1.000000    3.682645    0.337304    0.345016    0.345583
     1.000000    3.717551    0.337325    0.345147    0.345437
