3.00000000	0.00000000	0.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	2.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	4.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	6.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	8.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	10.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	12.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	14.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	16.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	18.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	20.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	22.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	24.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	26.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	28.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	30.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	32.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	34.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	36.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	38.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	40.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	42.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	44.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	46.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	48.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	50.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	52.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	54.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	56.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	58.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	60.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	62.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	64.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	66.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	68.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	70.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	72.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	74.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	76.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	78.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	80.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	82.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	84.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	86.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	88.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	90.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	92.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	94.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	96.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	98.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	100.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	102.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	104.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	106.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	108.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	110.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	112.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	114.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	116.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	118.00000000	-1.56861772	-1.56861772	-1.42081532
3.00000000	0.00000000	120.00000000	-1.56861772	-1.56861772	-1.42081532
					
3.00000000	2.00000000	0.00000000	-1.57341072	-1.56376740	-1.42081472
3.00000000	2.00000000	2.00000000	-1.57341511	-1.56376289	-1.42081467
3.00000000	2.00000000	4.00000000	-1.57341946	-1.56375844	-1.42081462
3.00000000	2.00000000	6.00000000	-1.57342371	-1.56375410	-1.42081457
3.00000000	2.00000000	8.00000000	-1.57342782	-1.56374990	-1.42081452
3.00000000	2.00000000	10.00000000	-1.57343173	-1.56374590	-1.42081448
3.00000000	2.00000000	12.00000000	-1.57343540	-1.56374213	-1.42081444
3.00000000	2.00000000	14.00000000	-1.57343881	-1.56373864	-1.42081440
3.00000000	2.00000000	16.00000000	-1.57344190	-1.56373547	-1.42081436
3.00000000	2.00000000	18.00000000	-1.57344466	-1.56373265	-1.42081433
